Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,26967,00-0026967,NFL,CAN335585,https://static.www.nfl.com/image/private/{formatInstructions}/league/cqv9hh0thlz5l6ziaiom,Trevor Canfield,Trevor Canfield,G,Seattle Seahawks,SEA,4600,4600,,,,NOR,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,Cincinnati,-,-,,,,,5.39,1.89,-,-,,29,77,307,9.250,,32.000,59.2,61.9,56.5,70.6,0,
1,27137,00-0027137,NFL,EDI582023,https://static.www.nfl.com/image/private/{formatInstructions}/league/craaphaxwlpxiygdb3v7,Dominique Edison,Dominique Edison,WR,Tennessee Titans,TEN,2100,2100,,,,NOR,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,Stephen F. Austin State,-,-,,,,,4.42,1.63,-,37.0,120,,74,204,8.500,,32.500,64.9,69.6,57.2,75.0,5,
1,24561,00-0024561,NFL,MAS191461,https://static.www.nfl.com/image/private/{formatInstructions}/league/dox1rkozlfz0h0uaorkn,Marcus Mason,Marcus Mason,RB,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,Youngstown State,-,-,,,,,-,-,-,-,,,69,215,-,,-,-,-,-,-,10,
1,26191,00-0026191,NFL,KEL691432,https://static.www.nfl.com/image/private/{formatInstructions}/league/y7lsvjvkldexxzqww5pq,Malcolm Kelly,Malcolm Kelly,WR,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,Oklahoma,-,-,,,,,4.68,-,-,-,,,76,226,10.250,,34.250,78.5,77.8,74.0,92.1,21,
1,26539,00-0026539,NFL,HOL601206,https://static.www.nfl.com/image/private/{formatInstructions}/league/dahvxtux1ahtysa4rak5,Lendy Holmes,Lendy Holmes,SAF,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,Oklahoma,-,-,,,,,4.75,1.68,7.28,32.0,112,16,73,201,9.750,,31.750,59.1,51.0,71.8,75.6,8,
1,26838,00-0026838,NFL,HIL538550,https://static.www.nfl.com/image/private/{formatInstructions}/league/ou2o1onbaca5p2ntkrjm,P.J. Hill,P.J. Hill,RB,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,Wisconsin,4.63,1.59,7.09,37,122,16,-,-,-,-,,,70,218,9.250,,32.500,69.4,69.3,64.8,76.0,0,
1,26933,00-0026933,NFL,HEN807056,https://static.www.nfl.com/image/private/{formatInstructions}/league/drn1dkzuwvbrrb5vzvv6,Robert Henson,Robert Henson,LB,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,TCU,-,-,,,,,-,-,-,-,,,72,247,-,,-,-,-,-,-,6,
1,26959,00-0026959,NFL,MIT512333,https://static.www.nfl.com/image/private/{formatInstructions}/league/n183gcv8pbcyh2wx0yut,Marko Mitchell,Marko Mitchell,WR,Washington Redskins,WAS,5110,5110,,,,NOR,5110,WAS,Redskins,Washington,Washington Redskins,,,,,#5A1414,NFC,Nevada,-,-,,,,,4.43,1.63,7.04,32.0,116,9,76,218,10.250,,34.500,64.6,63.5,71.5,91.4,10,
1,22093,00-0022093,NFL,FAR068315,https://static.www.nfl.com/image/private/{formatInstructions}/league/lvsujedxg8jg7pcepcnb,Justin Fargas,Justin Fargas,RB,Oakland Raiders,OAK,2520,2520,,,,NOR,2520,OAK,Raiders,Oakland,Oakland Raiders,,,,,#000000,AFC,USC,-,-,,,,,4.35,1.53,-,-,137,27,73,220,9.750,,31.000,76.1,99.0,54.5,82.1,92,
1,24432,00-0024432,NFL,WAT299944,https://static.www.nfl.com/image/private/{formatInstructions}/league/q8f7oy0ni2z7k4n5k7jw,Todd Watkins,Todd Watkins,WR,Oakland Raiders,OAK,2520,2520,,,,NOR,2520,OAK,Raiders,Oakland,Oakland Raiders,,,,,#000000,AFC,BYU,-,-,,,,,4.40,1.54,7.13,36.0,118,15,75,195,9.250,,31.250,72.5,78.5,67.1,76.4,21,
1,25388,00-0025388,NFL,RUS539462,https://static.www.nfl.com/image/private/{formatInstructions}/league/j9utxwp9846osapesksk,JaMarcus Russell,JaMarcus Russell,QB,Oakland Raiders,OAK,2520,2520,,,,NOR,2520,OAK,Raiders,Oakland,Oakland Raiders,,,,,#000000,AFC,LSU,4.83,1.67,,,,,4.83,-,-,-,,,78,260,9.625,,35.000,81.2,72.5,84.2,93.7,31,
1,25641,00-0025641,NFL,HOL137241,https://static.www.nfl.com/image/private/{formatInstructions}/league/b69uwhnv8fljmta8exkr,Jonathan Holland,Jonathan Holland,WR,Oakland Raiders,OAK,2520,2520,,,,NOR,2520,OAK,Raiders,Oakland,Oakland Raiders,,,,,#000000,AFC,Louisiana Tech,-,-,,,,,4.45,1.57,7.12,35.5,120,15,73,195,9.250,,35.000,55.4,64.8,51.7,78.5,17,
1,26133,00-0026133,NFL,GUN257272,https://static.www.nfl.com/image/private/{formatInstructions}/league/yhig3ibcwfgwajbywcah,Greyson Gunheim,Greyson Gunheim,DE,Oakland Raiders,OAK,2520,2520,,,,NOR,2520,OAK,Raiders,Oakland,Oakland Raiders,,,,,#000000,AFC,Washington,-,-,,,,,-,-,-,-,,,77,265,-,,-,-,-,-,-,3,
1,26040,00-0026040,NFL,LOK479182,https://static.www.nfl.com/image/private/{formatInstructions}/league/okdjv2icfxajcnv5kyoz,Derek Lokey,Derek Lokey,DT,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Texas,-,-,,,,,-,-,-,-,,,73,287,-,,-,-,-,-,-,3,
1,26871,00-0026871,NFL,GAL186934,https://static.www.nfl.com/image/private/{formatInstructions}/league/gp3bt5rzzejn0rhmvfw8,Dion Gales,Dion Gales,DE,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Troy,-,-,,,,,-,-,-,-,,,77,259,-,,-,-,-,-,-,3,
