Rank,playerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,100175552,NCAA,100175552,,Victor Evans III,Victor Evans III,DB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,73,180,-,,-,-,-,-,-,12,
1,100175553,NCAA,100175553,,Noah Fernandez,Noah Fernandez,OL,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,76,320,-,,-,-,-,-,-,2,
1,100175556,NCAA,100175556,,Nate Henry,Nate Henry,RB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,69,190,-,,-,-,-,-,-,5,
1,100175559,NCAA,100175559,,Kyle McNeal,Kyle McNeal,WR,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,73,175,-,,-,-,-,-,-,12,
1,100175560,NCAA,100175560,,Daniel Michel,Daniel Michel,OL,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,78,328,-,,-,-,-,-,-,11,
1,100175571,NCAA,100175571,,Braiden Staten,Braiden Staten,TE,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,78,245,-,,-,-,-,-,-,7,
1,100175572,NCAA,100175572,,Orlando Syph-Timmons,Orlando Syph-Timmons,LB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,73,210,-,,-,-,-,-,-,9,
1,100175573,NCAA,100175573,,Preston Thompson,Preston Thompson,DB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,71,180,-,,-,-,-,-,-,11,
1,100175574,NCAA,100175574,,Zachary Waters,Zachary Waters,QB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,72,195,-,,-,-,-,-,-,1,
1,100175575,NCAA,100175575,,Nick Watson,Nick Watson,DL,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,76,240,-,,-,-,-,-,-,1,
1,100175597,NCAA,100175597,,Drew Henderson,Drew Henderson,K,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,68,180,-,,-,-,-,-,-,10,
1,100175598,NCAA,100175598,,Reggie Jones Jr.,Reggie Jones Jr.,DL,San Jose State Spartans,SJSU,100000285,CASJ,,,,,,true,,,,#FFC021,MWC,San Jose State,-,-,,,,,-,-,-,-,,,72,297,-,,-,-,-,-,-,1,
1,100175599,NCAA,100175599,,Adem Madise,Adem Madise,WR,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,74,200,-,,-,-,-,-,-,2,
1,100175601,NCAA,100175601,,Judd Rouyea,Judd Rouyea,DL,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,74,267,-,,-,-,-,-,-,3,
1,100179033,NCAA,100179033,,Kenyatta McNeese,Kenyatta McNeese,DB,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,71,200,-,,-,-,-,-,-,13,
1,100170764,NCAA,100170764,,Nick Clegg,Nick Clegg,K,San Diego State Aztecs,SDSU,100000284,CASS,,,,,,true,,,,#BF2C37,MWC,San Diego State,-,-,,,,,-,-,-,-,,,73,175,-,,-,-,-,-,-,1,
1,100170765,NCAA,100170765,,Carson Conklin,Carson Conklin,QB,Fresno State Bulldogs,FRES,100000169,CAFR,,,,,,true,,,,#DB0032,MWC,Fresno State,-,-,,,,,-,-,-,-,,,73,175,-,,-,-,-,-,-,6,
1,100170780,NCAA,100170780,,Zach Schreiner,Zach Schreiner,K,Kentucky Wildcats,UK,100000202,KYUN,,,,,,true,,,,#003399,SEC,Kentucky,-,-,,,,,-,-,-,-,,,72,181,-,,-,-,-,-,-,1,
1,100170781,NCAA,100170781,,Danny Scudero,Danny Scudero,WR,San Jose State Spartans,SJSU,100000285,CASJ,,,,,,true,,,,#FFC021,MWC,San Jose State,-,-,,,,,-,-,-,-,,,69,175,-,,-,-,-,-,-,12,
1,100170390,NCAA,100170390,,Kevin Check,Kevin Check,TE,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,77,227,-,,-,-,-,-,-,2,
1,100170391,NCAA,100170391,,Cale Doyle,Cale Doyle,OL,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,75,307,-,,-,-,-,-,-,2,
1,100170393,NCAA,100170393,,Brandon Hoyle,Brandon Hoyle,DL,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,74,259,-,,-,-,-,-,-,1,
1,100170395,NCAA,100170395,,Matthew Lusardi,Matthew Lusardi,TE,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,73,247,-,,-,-,-,-,-,13,
1,100170399,NCAA,100170399,,Wesley Stroebel,Wesley Stroebel,WR,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,73,184,-,,-,-,-,-,-,0,
1,100170400,NCAA,100170400,,Luke White,Luke White,LB,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,72,218,-,,-,-,-,-,-,0,
1,100176058,NCAA,100176058,,Kerrington Lee,Kerrington Lee,LB,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,76,252,-,,-,-,-,-,-,3,
1,100176060,NCAA,100176060,,Aiden Hall,Aiden Hall,LB,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,72,231,-,,-,-,-,-,-,13,
1,100176061,NCAA,100176061,,Davaughn Patterson,Davaughn Patterson,DB,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,72,217,-,,-,-,-,-,-,13,
1,100172640,NCAA,100172640,,Brock Chappell,Brock Chappell,TE,Louisiana Ragin' Cajuns,ULL,100000207,LASW,,,,,,true,,,,#CE181E,Sun Belt,Louisiana,-,-,,,,,-,-,-,-,,,77,252,-,,-,-,-,-,-,13,
1,100172651,NCAA,100172651,,Colton Hinton,Colton Hinton,WR,Coastal Carolina Chanticleers,CCAR,100000141,SCCC,,,,,,true,,,,#009297,Sun Belt,Coastal Carolina,-,-,,,,,-,-,-,-,,,71,180,-,,-,-,-,-,-,5,
1,100172659,NCAA,100172659,,Jaylen Moson,Jaylen Moson,DB,Utah Utes,UTAH,100000328,UTUN,,,,,,true,,,,#CC0000,Big 12,Utah,-,-,,,,,-,-,-,-,,,71,175,-,,-,-,-,-,-,1,
1,100174574,NCAA,100174574,,Myles Parker,Myles Parker,DL,Houston Cougars,HOU,100000182,TXHO,,,,,,true,,,,#C90822,Big 12,Houston,-,-,,,,,-,-,-,-,,,73,325,-,,-,-,-,-,-,12,
1,100174579,NCAA,100174579,,Cayman Spaulding,Cayman Spaulding,LB,Georgia Tech Yellow Jackets,GT,100000176,GATC,,,,,,true,,,,#B3A369,ACC,Georgia Tech,-,-,,,,,-,-,-,-,,,72,220,-,,-,-,-,-,-,13,
1,100171425,NCAA,100171425,,Jude McCoskey,Jude McCoskey,OL,Purdue Boilermakers,PUR,100000273,INPU,,,,,,true,,,,#D9C89E,Big Ten,Purdue,-,-,,,,,-,-,-,-,,,80,325,-,,-,-,-,-,-,11,
1,100177616,NCAA,100177616,,Jacob Horvath,Jacob Horvath,P,North Carolina Tar Heels,UNC,100000245,NCUN,,,,,,true,,,,#7BAED5,ACC,North Carolina,-,-,,,,,-,-,-,-,,,73,190,-,,-,-,-,-,-,0,
1,100172143,NCAA,100172143,,Caleb Ramseur,Caleb Ramseur,RB,Nevada Wolf Pack,NEV,100000239,NVRE,,,,,,true,,,,#002E62,MWC,Nevada,-,-,,,,,-,-,-,-,,,69,205,-,,-,-,-,-,-,12,
1,100181208,NCAA,100181208,,Ali Abbasi,Ali Abbasi,DL,Marshall Thundering Herd,MRSH,100000214,WVMA,,,,,,true,,,,#00B140,Sun Belt,Marshall,-,-,,,,,-,-,-,-,,,75,287,-,,-,-,-,-,-,1,
1,100171518,NCAA,100171518,,Jaylen Castleberry,Jaylen Castleberry,DB,Temple Owls,TEM,100000306,PATE,,,,,,true,,,,#9D2235,The American,Temple,-,-,,,,,-,-,-,-,,,72,195,-,,-,-,-,-,-,11,
1,100171520,NCAA,100171520,,Isaiah Crozier,Isaiah Crozier,DB,UAB Blazers,UAB,100000321,ALBI,,,,,,true,,,,#295135,The American,UAB,-,-,,,,,-,-,-,-,,,72,175,-,,-,-,-,-,-,10,
1,100171534,NCAA,100171534,,Wyatt Minor,Wyatt Minor,OL,West Virginia Mountaineers,WVU,100000343,WVUN,,,,,,true,,,,#002B5C,Big 12,West Virginia,-,-,,,,,-,-,-,-,,,77,305,-,,-,-,-,-,-,0,
1,100171539,NCAA,100171539,,Cyrus Traugh,Cyrus Traugh,WR,West Virginia Mountaineers,WVU,100000343,WVUN,,,,,,true,,,,#002B5C,Big 12,West Virginia,-,-,,,,,-,-,-,-,,,72,188,-,,-,-,-,-,-,2,
1,100177800,NCAA,100177800,,Onye Nwosisi,Onye Nwosisi,DL,Boston College Eagles,BC,100000121,MABC,,,,,,true,,,,#821E1E,ACC,Boston College,-,-,,,,,-,-,-,-,,,76,256,-,,-,-,-,-,-,3,
1,100177806,NCAA,100177806,,Jacob Russell,Jacob Russell,OL,Central Michigan Chippewas,CMU,100000134,MICE,,,,,,true,,,,#6A0032,MAC,Central Michigan,-,-,,,,,-,-,-,-,,,76,295,-,,-,-,-,-,-,13,
1,100175070,NCAA,100175070,,Dallas Afalava,Dallas Afalava,DL,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,73,291,-,,-,-,-,-,-,13,
1,100175071,NCAA,100175071,,Xe'ree Alexander,Xe'ree Alexander,LB,Washington Huskies,UW,100000340,WAUN,,,,,,true,,,,#2B2F64,Big Ten,Washington,-,-,,,,,-,-,-,-,,,74,223,-,,-,-,-,-,-,13,
1,100175075,NCAA,100175075,,Deshaun Buchanan,Deshaun Buchanan,RB,New Mexico Lobos,UNM,100000241,NMUN,,,,,,true,,,,#D41045,MWC,New Mexico,-,-,,,,,-,-,-,-,,,69,193,-,,-,-,-,-,-,13,
1,100175078,NCAA,100175078,,Jaxton Eck,Jaxton Eck,LB,New Mexico Lobos,UNM,100000241,NMUN,,,,,,true,,,,#D41045,MWC,New Mexico,-,-,,,,,-,-,-,-,,,73,224,-,,-,-,-,-,-,13,
1,100175085,NCAA,100175085,,Mark Hamper,Mark Hamper,WR,California Golden Bears,CAL,100000130,CAUN,,,,,,true,,,,#003262,ACC,California,-,-,,,,,-,-,-,-,,,74,205,-,,-,-,-,-,-,9,
1,100175089,NCAA,100175089,,Keyshawn James-Newby,Keyshawn James-Newby,DL,New Mexico Lobos,UNM,100000241,NMUN,,,,,,true,,,,#D41045,MWC,New Mexico,-,-,,,,,-,-,-,-,,,74,244,-,,-,-,-,-,-,13,
1,100175091,NCAA,100175091,,Zach Johnson,Zach Johnson,LB,Stanford Cardinal,STAN,100000300,CAST,,,,,,true,,,,#8C1515,ACC,Stanford,-,-,,,,,-,-,-,-,,,75,230,-,,-,-,-,-,-,12,
1,100175097,NCAA,100175097,,Andrew Marshall,Andrew Marshall,DB,Nebraska Cornhuskers,NEB,100000238,NEUN,,,,,,true,,,,#F20017,Big Ten,Nebraska,-,-,,,,,-,-,-,-,,,72,190,-,,-,-,-,-,-,13,
1,100175102,NCAA,100175102,,Mason Mini,Mason Mini,TE,California Golden Bears,CAL,100000130,CAUN,,,,,,true,,,,#003262,ACC,California,-,-,,,,,-,-,-,-,,,76,240,-,,-,-,-,-,-,11,
