player,position,college,cmbn_score,athlete_score,prod_score,name_norm,pos_group
CJ Allen,LB,Georgia,73.6,70.8,69.2,cj allen,LB
Monroe Freeling,OL,Georgia,80.7,89.9,72,monroe freeling,IOL
Josiah Trotter,LB,Missouri,69.1,67.8,63.3,josiah trotter,LB
Robert Henry Jr.,RB,UTSA,58.5,69.3,62.6,robert henry,RB
Will Lee III,DB,Texas A&M,70.8,69.6,67.1,will lee,CB
D'Angelo Ponds,DB,Indiana,77.8,70.3,83,d'angelo ponds,CB
Jalon Kilgore,DB,South Carolina,74.7,79.9,68.5,jalon kilgore,CB
Malik Benson,WR,Oregon,70.7,75.2,65.5,malik benson,WR
Caleb Downs,DB,Ohio State,83.7,76.3,81.4,caleb downs,CB
Justin Jefferson,LB,Alabama,71.8,82.1,65.5,justin jefferson,LB
Kadyn Proctor,OL,Alabama,80.3,83.7,73,kadyn proctor,IOL
Chase Bisontis,OL,Texas A&M,77.2,81.1,70.2,chase bisontis,IOL
Taurean York,LB,Texas A&M,68.8,63.4,71,taurean york,LB
Genesis Smith,DB,Arizona,72.2,79.8,66.8,genesis smith,CB
Jermod McCoy,DB,Tennessee,75.4,62.9,78.3,jermod mccoy,CB
T.J. Parker,LB,Clemson,78,76,74.4,tj parker,LB
Avieon Terrell,DB,Clemson,75.1,60.8,79.2,avieon terrell,CB
Peter Woods,DL,Clemson,79.3,76.3,80.5,peter woods,DL
Alan Herron,OL,Maryland,67.3,63.8,57.8,alan herron,IOL
Markel Bell,OL,Miami (FL),70.4,72.2,67.2,markel bell,IOL
Ted Hurst,WR,Georgia State,75.8,85.6,69.8,ted hurst,WR
