pfr_player_name,pos_group,team,gsis_id,season,pick,tier,is_hit,avg_snap_pct,snap_ratio,rookie_apy_cap_pct,fa_median_apy_cap_pct,rookie_surplus,second_apy_cap_pct,player_return,player_sharpe,sharpe_linear,sharpe_elite
N'Keal Harry,WR,NWE,00-0035624,2019,32,Late 1st,FALSE,0.29942857142857143,0.46785714285714286,0.013000000000000001,0.079,0.12351428571428572,0.005,0.12851428571428572,0.38177450266543345,-0.7067555359941448,0.12050516789925937
Ty Montgomery,WR,GNB,00-0032200,2015,94,Round 3,FALSE,0.2766176470588236,0.43221507352941185,0,0.079,0.13657996323529414,0,0.13657996323529414,0.38124554841511377,-1.4782442291920619,-0.03988217399875301
Marcus Martin,IOL,SFO,00-0031337,2014,70,Round 3,FALSE,0.3397058823529412,0.45476021733994804,0.006,0.051,0.08185683912119064,0.005,0.08685683912119065,0.380028790715672,-1.1210940108268708,-0.4767011195371987
Gabe Carimi,OT,CHI,00-0027967,2011,29,Late 1st,FALSE,0.35911764705882354,0.491941982272361,0.015,0.08149999999999999,0.130856567284448,0,0.130856567284448,0.37995253457272865,-0.6590268496124263,0.5624288068243084
Zack Baun,LB,NOR,00-0036418,2020,74,Round 3,FALSE,0.14464788732394365,0.20902873890743304,0.006,0.061,0.04598632255963527,0.061,0.10698632255963528,0.3792019587865774,-1.5009104241941897,-0.26024197516630576
Genard Avery,LB,CLE,00-0034682,2018,150,Rounds 4-7,FALSE,0.2536231884057971,0.36650749769623864,0.004,0.061,0.0835637094747424,0.006,0.0895637094747424,0.3769571195643334,-3.875277998195149,-0.8050209414767096
John Metchie,WR,HOU,00-0037614,2022,44,Round 2,FALSE,0.2891666666666667,0.4518229166666667,0.01,0.079,0.12470312500000001,0.006,0.130703125,0.37318246390099286,-1.0961314210494868,0.22664173323619316
Dominique Easley,DL,NWE,00-0031425,2014,29,Late 1st,FALSE,0.2208823529411765,0.41056199431445445,0.013999999999999999,0.075,0.10017712661272689,0.011000000000000001,0.11117712661272688,0.37287449139211,-0.5579535424283915,0.23099991956812158
Greedy Williams,CB,CLE,00-0035638,2019,46,Round 2,FALSE,0.2987142857142857,0.4316680429397193,0.009000000000000001,0.08199999999999999,0.126047068538398,0.006,0.132047068538398,0.37277454923819603,-1.8987142572552127,-0.038091475434602076
Nathan Gerry,S,PHI,00-0033577,2017,184,Rounds 4-7,FALSE,0.29132352941176476,0.4080161476355249,0,0.053,0.08649942329873128,0,0.08649942329873128,0.37236616035983494,-2.184659545441944,-0.5511731411824057
